document_id,title,ddc_main_class,source_url,normalized_title,group_size,different_main_classes,review_reason
OL42393776W,Plants,500,https://openlibrary.org/works/OL42393776W,plants,2,False,"Same title does not prove same book; compare authors, editions and subject before merging."
OL42563398W,Plants,500,https://openlibrary.org/works/OL42563398W,plants,2,False,"Same title does not prove same book; compare authors, editions and subject before merging."
OL42393817W,Animals,500,https://openlibrary.org/works/OL42393817W,animals,2,False,"Same title does not prove same book; compare authors, editions and subject before merging."
OL42567211W,Animals,500,https://openlibrary.org/works/OL42567211W,animals,2,False,"Same title does not prove same book; compare authors, editions and subject before merging."
OL42393841W,Senses,500,https://openlibrary.org/works/OL42393841W,senses,2,True,"Same title does not prove same book; compare authors, editions and subject before merging."
OL42556733W,Senses,600,https://openlibrary.org/works/OL42556733W,senses,2,True,"Same title does not prove same book; compare authors, editions and subject before merging."
OL42398125W,Nature,500,https://openlibrary.org/works/OL42398125W,nature,2,False,"Same title does not prove same book; compare authors, editions and subject before merging."
OL42414001W,Nature,500,https://openlibrary.org/works/OL42414001W,nature,2,False,"Same title does not prove same book; compare authors, editions and subject before merging."
OL42398469W,India,900,https://openlibrary.org/works/OL42398469W,india,2,False,"Same title does not prove same book; compare authors, editions and subject before merging."
OL42417170W,India,900,https://openlibrary.org/works/OL42417170W,india,2,False,"Same title does not prove same book; compare authors, editions and subject before merging."
OL42398580W,Lucy and the Lighthouse Fairies,400,https://openlibrary.org/works/OL42398580W,lucy and the lighthouse fairies,2,False,"Same title does not prove same book; compare authors, editions and subject before merging."
OL42428329W,Lucy and the Lighthouse Fairies,400,https://openlibrary.org/works/OL42428329W,lucy and the lighthouse fairies,2,False,"Same title does not prove same book; compare authors, editions and subject before merging."
OL42401118W,AI and Data Revolution,000,https://openlibrary.org/works/OL42401118W,ai and data revolution,2,False,"Same title does not prove same book; compare authors, editions and subject before merging."
OL42405205W,AI and Data Revolution,000,https://openlibrary.org/works/OL42405205W,ai and data revolution,2,False,"Same title does not prove same book; compare authors, editions and subject before merging."
OL42402604W,Penguin Readers Level 4,400,https://openlibrary.org/works/OL42402604W,penguin readers level 4,2,False,"Same title does not prove same book; compare authors, editions and subject before merging."
OL42410577W,Penguin Readers Level 4,400,https://openlibrary.org/works/OL42410577W,penguin readers level 4,2,False,"Same title does not prove same book; compare authors, editions and subject before merging."
OL42402841W,Sun,500,https://openlibrary.org/works/OL42402841W,sun,2,False,"Same title does not prove same book; compare authors, editions and subject before merging."
OL42425347W,Sun,500,https://openlibrary.org/works/OL42425347W,sun,2,False,"Same title does not prove same book; compare authors, editions and subject before merging."
OL42402863W,I Like Ants,400,https://openlibrary.org/works/OL42402863W,i like ants,2,False,"Same title does not prove same book; compare authors, editions and subject before merging."
OL42425799W,I Like Ants,400,https://openlibrary.org/works/OL42425799W,i like ants,2,False,"Same title does not prove same book; compare authors, editions and subject before merging."
OL42402870W,One-Man Band,400,https://openlibrary.org/works/OL42402870W,one man band,2,False,"Same title does not prove same book; compare authors, editions and subject before merging."
OL42425805W,One-Man Band,400,https://openlibrary.org/works/OL42425805W,one man band,2,False,"Same title does not prove same book; compare authors, editions and subject before merging."
OL42402917W,5 Facts a Day Science,500,https://openlibrary.org/works/OL42402917W,5 facts a day science,2,False,"Same title does not prove same book; compare authors, editions and subject before merging."
OL42427243W,5 Facts a Day Science,500,https://openlibrary.org/works/OL42427243W,5 facts a day science,2,False,"Same title does not prove same book; compare authors, editions and subject before merging."
OL42405915W,Adventure,300,https://openlibrary.org/works/OL42405915W,adventure,2,True,"Same title does not prove same book; compare authors, editions and subject before merging."
OL42443133W,Adventure,400,https://openlibrary.org/works/OL42443133W,adventure,2,True,"Same title does not prove same book; compare authors, editions and subject before merging."
OL42406613W,DK Super Readers Level 1 Star Wars Princess Leia's Adventures,400,https://openlibrary.org/works/OL42406613W,dk super readers level 1 star wars princess leia s adventures,2,False,"Same title does not prove same book; compare authors, editions and subject before merging."
OL42429273W,DK Super Readers Level 1 Star Wars Princess Leia's Adventures,400,https://openlibrary.org/works/OL42429273W,dk super readers level 1 star wars princess leia s adventures,2,False,"Same title does not prove same book; compare authors, editions and subject before merging."
OL42406640W,Penguin Readers Level 5,400,https://openlibrary.org/works/OL42406640W,penguin readers level 5,4,False,"Same title does not prove same book; compare authors, editions and subject before merging."
OL42406647W,Penguin Readers Level 5,400,https://openlibrary.org/works/OL42406647W,penguin readers level 5,4,False,"Same title does not prove same book; compare authors, editions and subject before merging."
OL42406861W,Penguin Readers Level 5,400,https://openlibrary.org/works/OL42406861W,penguin readers level 5,4,False,"Same title does not prove same book; compare authors, editions and subject before merging."
OL42416954W,Penguin Readers Level 5,400,https://openlibrary.org/works/OL42416954W,penguin readers level 5,4,False,"Same title does not prove same book; compare authors, editions and subject before merging."
OL42406878W,New Orleans Saints,700,https://openlibrary.org/works/OL42406878W,new orleans saints,2,False,"Same title does not prove same book; compare authors, editions and subject before merging."
OL42560078W,New Orleans Saints,700,https://openlibrary.org/works/OL42560078W,new orleans saints,2,False,"Same title does not prove same book; compare authors, editions and subject before merging."
OL42406891W,Yosemite National Park,900,https://openlibrary.org/works/OL42406891W,yosemite national park,2,False,"Same title does not prove same book; compare authors, editions and subject before merging."
OL42434844W,Yosemite National Park,900,https://openlibrary.org/works/OL42434844W,yosemite national park,2,False,"Same title does not prove same book; compare authors, editions and subject before merging."
OL42406942W,Seattle Seahawks,700,https://openlibrary.org/works/OL42406942W,seattle seahawks,2,False,"Same title does not prove same book; compare authors, editions and subject before merging."
OL42556796W,Seattle Seahawks,700,https://openlibrary.org/works/OL42556796W,seattle seahawks,2,False,"Same title does not prove same book; compare authors, editions and subject before merging."
OL42406958W,Moon,500,https://openlibrary.org/works/OL42406958W,moon,3,False,"Same title does not prove same book; compare authors, editions and subject before merging."
OL42422851W,Moon,500,https://openlibrary.org/works/OL42422851W,moon,3,False,"Same title does not prove same book; compare authors, editions and subject before merging."
OL42423829W,Moon,500,https://openlibrary.org/works/OL42423829W,moon,3,False,"Same title does not prove same book; compare authors, editions and subject before merging."
OL42406970W,Fuzz Bug,400,https://openlibrary.org/works/OL42406970W,fuzz bug,2,False,"Same title does not prove same book; compare authors, editions and subject before merging."
OL42425815W,Fuzz Bug,400,https://openlibrary.org/works/OL42425815W,fuzz bug,2,False,"Same title does not prove same book; compare authors, editions and subject before merging."
OL42407584W,Plant Power,600,https://openlibrary.org/works/OL42407584W,plant power,2,True,"Same title does not prove same book; compare authors, editions and subject before merging."
OL42546175W,Plant Power,500,https://openlibrary.org/works/OL42546175W,plant power,2,True,"Same title does not prove same book; compare authors, editions and subject before merging."
OL42422765W,Velociraptor,500,https://openlibrary.org/works/OL42422765W,velociraptor,2,False,"Same title does not prove same book; compare authors, editions and subject before merging."
OL42565015W,Velociraptor,500,https://openlibrary.org/works/OL42565015W,velociraptor,2,False,"Same title does not prove same book; compare authors, editions and subject before merging."
OL42423760W,Houston Rockets,700,https://openlibrary.org/works/OL42423760W,houston rockets,2,False,"Same title does not prove same book; compare authors, editions and subject before merging."
OL45150897W,Houston Rockets,700,https://openlibrary.org/works/OL45150897W,houston rockets,2,False,"Same title does not prove same book; compare authors, editions and subject before merging."
OL42428773W,Beavers,500,https://openlibrary.org/works/OL42428773W,beavers,2,False,"Same title does not prove same book; compare authors, editions and subject before merging."
OL42428943W,Beavers,500,https://openlibrary.org/works/OL42428943W,beavers,2,False,"Same title does not prove same book; compare authors, editions and subject before merging."
OL42429217W,Baboons,500,https://openlibrary.org/works/OL42429217W,baboons,2,False,"Same title does not prove same book; compare authors, editions and subject before merging."
OL45150909W,Baboons,500,https://openlibrary.org/works/OL45150909W,baboons,2,False,"Same title does not prove same book; compare authors, editions and subject before merging."
OL42430823W,Sharks,400,https://openlibrary.org/works/OL42430823W,sharks,2,True,"Same title does not prove same book; compare authors, editions and subject before merging."
OL42547983W,Sharks,500,https://openlibrary.org/works/OL42547983W,sharks,2,True,"Same title does not prove same book; compare authors, editions and subject before merging."
OL42539495W,Dinosaurs,900,https://openlibrary.org/works/OL42539495W,dinosaurs,2,True,"Same title does not prove same book; compare authors, editions and subject before merging."
OL42556812W,Dinosaurs,500,https://openlibrary.org/works/OL42556812W,dinosaurs,2,True,"Same title does not prove same book; compare authors, editions and subject before merging."
OL42540112W,Windows into the Medieval Mediterranean,900,https://openlibrary.org/works/OL42540112W,windows into the medieval mediterranean,2,False,"Same title does not prove same book; compare authors, editions and subject before merging."
OL42546384W,Windows into the Medieval Mediterranean,900,https://openlibrary.org/works/OL42546384W,windows into the medieval mediterranean,2,False,"Same title does not prove same book; compare authors, editions and subject before merging."
OL42547628W,Diplomatic History of Europe since the Congress of Vienna,900,https://openlibrary.org/works/OL42547628W,diplomatic history of europe since the congress of vienna,2,False,"Same title does not prove same book; compare authors, editions and subject before merging."
OL45911232W,Diplomatic History of Europe since the Congress of Vienna,900,https://openlibrary.org/works/OL45911232W,diplomatic history of europe since the congress of vienna,2,False,"Same title does not prove same book; compare authors, editions and subject before merging."
OL42564931W,Iguanodon,500,https://openlibrary.org/works/OL42564931W,iguanodon,2,False,"Same title does not prove same book; compare authors, editions and subject before merging."
OL45033610W,Iguanodon,500,https://openlibrary.org/works/OL45033610W,iguanodon,2,False,"Same title does not prove same book; compare authors, editions and subject before merging."
OL44553832W,"Data Analysis and Related Applications, Volume 5",000,https://openlibrary.org/works/OL44553832W,data analysis and related applications volume 5,2,False,"Same title does not prove same book; compare authors, editions and subject before merging."
OL44553835W,"Data Analysis and Related Applications, Volume 5",000,https://openlibrary.org/works/OL44553835W,data analysis and related applications volume 5,2,False,"Same title does not prove same book; compare authors, editions and subject before merging."
OL44561161W,Words for Life,400,https://openlibrary.org/works/OL44561161W,words for life,2,False,"Same title does not prove same book; compare authors, editions and subject before merging."
OL45148113W,Words for Life,400,https://openlibrary.org/works/OL45148113W,words for life,2,False,"Same title does not prove same book; compare authors, editions and subject before merging."
OL44578647W,Turning Points,200,https://openlibrary.org/works/OL44578647W,turning points,2,True,"Same title does not prove same book; compare authors, editions and subject before merging."
OL45609162W,Turning Points,600,https://openlibrary.org/works/OL45609162W,turning points,2,True,"Same title does not prove same book; compare authors, editions and subject before merging."
OL45791022W,Flower Power,500,https://openlibrary.org/works/OL45791022W,flower power,2,True,"Same title does not prove same book; compare authors, editions and subject before merging."
OL45909884W,Flower Power,600,https://openlibrary.org/works/OL45909884W,flower power,2,True,"Same title does not prove same book; compare authors, editions and subject before merging."
OL45859692W,The Truth Dancer,800,https://openlibrary.org/works/OL45859692W,the truth dancer,2,False,"Same title does not prove same book; compare authors, editions and subject before merging."
OL45859854W,The Truth Dancer,800,https://openlibrary.org/works/OL45859854W,the truth dancer,2,False,"Same title does not prove same book; compare authors, editions and subject before merging."
