document_id,title,subtitle,first_sentence,subjects,ddc_candidates,languages,author_keys,edition_keys,source,query,source_page,retrieved_at,label_provenance,ddc_original_candidates,correction_evidence,ddc_valid_candidates,ddc_invalid_candidates,ddc_full,label_level_1,label_level_2,label_level_3,label_status,input_kind,text_without_subjects,subjects_clean,text_with_subjects,text_hash,group_id,exclusion_reason,reviewer_ddc,reviewer_evidence,reviewer_notes,reviewer_status,reviewer_main_class,reviewer,review_scope,reviewed_at
OL42400201W,New ERA of Comparison in Biblical Studies,,,"Bible, criticism, interpretation, etc.","[""220.072""]","[""eng""]","[""OL9735958A"", ""OL14992366A"", ""OL3619189A"", ""OL2847174A""]","[""OL57525721M""]",https://openlibrary.org/search.json,ddc:2* AND language:eng,3,2026-09-06T14:57:00.125027+00:00,all_returned_candidates,"[""220.072""]",,"[""220.072""]",[],220.072,200,220,220,single_code,structured_metadata,New ERA of Comparison in Biblical Studies,"Bible, criticism, interpretation, etc.","New ERA of Comparison in Biblical Studies Subjects: Bible, criticism, interpretation, etc.",21f42d1b6b7b793d8f9ae238b98fc1068f8aa1812f0463869dda9da2f171b450,group_0001213,,,https://openlibrary.org/works/OL42400201W.json ; https://openlibrary.org/books/OL57525721M.json,Biblical comparison and interpretation fit religion; the work subjects also identify biblical criticism.,plausible_L1,200,Codex assisted source review,L1 only; detailed DDC not certified,2026-09-07T02:20:03.371632+00:00
OL44561124W,"Anglicanism, Missions and Empire",,,"Theology, practical","[""266.3""]","[""eng""]","[""OL575993A""]","[""OL60854847M""]",https://openlibrary.org/search.json,ddc:2* AND language:eng,5,2026-09-06T14:57:02.408977+00:00,all_returned_candidates,"[""266.3""]",,"[""266.3""]",[],266.3,200,260,266,single_code,structured_metadata,"Anglicanism, Missions and Empire","Theology, practical","Anglicanism, Missions and Empire Subjects: Theology, practical",07a5a7dbee1f765cecca86105c21b5ada18c05764323d6c61ed4c4dd89983042,group_0001400,,,https://openlibrary.org/works/OL44561124W.json ; https://openlibrary.org/books/OL60854847M.json,"Anglican missions and practical theology support religion as the broad class, despite the historical context.",plausible_L1,200,Codex assisted source review,L1 only; detailed DDC not certified,2026-09-07T02:20:03.371634+00:00
OL44542525W,Religious Super-Diversity and Peacebuilding Across Asia and Its Diasporas,,,Religion,"[""201.5""]","[""eng""]","[""OL16020824A"", ""OL364847A""]","[""OL60824461M""]",https://openlibrary.org/search.json,ddc:2* AND language:eng,5,2026-09-06T14:57:02.408977+00:00,all_returned_candidates,"[""201.5""]",,"[""201.5""]",[],201.5,200,200,201,single_code,structured_metadata,Religious Super-Diversity and Peacebuilding Across Asia and Its Diasporas,Religion,Religious Super-Diversity and Peacebuilding Across Asia and Its Diasporas Subjects: Religion,1e73bcb22428d4ad5a4df92d44c01967e0aab84d3043b23571f8badf6d6a577b,group_0001442,,,https://openlibrary.org/works/OL44542525W.json ; https://openlibrary.org/books/OL60824461M.json,The title and subject identify religion and interreligious peacebuilding. Broad religion label is plausible.,plausible_L1,200,Codex assisted source review,L1 only; detailed DDC not certified,2026-09-07T02:20:03.371635+00:00
OL42554087W,Cyril of Alexandria : Against Julian,,,,"[""239""]","[""eng""]","[""OL7712639A"", ""OL2669471A"", ""OL15059340A""]","[""OL60852853M"", ""OL57764603M""]",https://openlibrary.org/search.json,ddc:2* AND language:eng,2,2026-09-06T14:56:58.842712+00:00,all_returned_candidates,"[""239""]",,"[""239""]",[],239,200,230,239,single_code,structured_metadata,Cyril of Alexandria : Against Julian,,Cyril of Alexandria : Against Julian,b38abebbb3020a77b25e46795826f6a29492ec5da4ba4c5041dd10ac56cde5ac,group_0001179,,,https://openlibrary.org/works/OL42554087W.json ; https://openlibrary.org/books/OL60852853M.json ; https://openlibrary.org/books/OL57764603M.json,"The work concerns Cyril's religious argument against Julian. Retain religion provisionally; one checked edition lacks a DDC value, which is missing evidence rather than a contradiction.",plausible_L1,200,Codex assisted source review,L1 only; detailed DDC not certified,2026-09-07T02:20:03.371637+00:00
OL44545403W,Mythology of the San Bushmen of Southern Africa,,,Religion,"[""299.681""]","[""eng""]","[""OL3232321A""]","[""OL60828454M""]",https://openlibrary.org/search.json,ddc:2* AND language:eng,5,2026-09-06T14:57:02.408977+00:00,all_returned_candidates,"[""299.681""]",,"[""299.681""]",[],299.681,200,290,299,single_code,structured_metadata,Mythology of the San Bushmen of Southern Africa,Religion,Mythology of the San Bushmen of Southern Africa Subjects: Religion,5d335f3d96321f2d0c8e6d955ff376386db101b1c6baeabdd92c4d09f1ca925f,group_0001459,,,https://openlibrary.org/works/OL44545403W.json ; https://openlibrary.org/books/OL60828454M.json,Mythology and traditional beliefs support religion. No fine-grained geographic or ethnic subdivision was independently verified.,plausible_L1,200,Codex assisted source review,L1 only; detailed DDC not certified,2026-09-07T02:20:03.371639+00:00
OL42542954W,Artificial Intelligence and Law in the Communication Professions,,,Law,"[""343.09998""]","[""eng""]","[""OL7669760A""]","[""OL57745677M""]",https://openlibrary.org/search.json,ddc:3* AND language:eng,4,2026-09-06T14:57:09.440501+00:00,all_returned_candidates,"[""343.09998""]",,"[""343.09998""]",[],343.09998,300,340,343,single_code,structured_metadata,Artificial Intelligence and Law in the Communication Professions,Law,Artificial Intelligence and Law in the Communication Professions Subjects: Law,cdfe6b631ed604d7f07ec63e0f635a4c638f915a11a511a2a2ab89595dfa707f,group_0001836,,,https://openlibrary.org/works/OL42542954W.json ; https://openlibrary.org/books/OL57745677M.json,The title concerns law applied to communication professions and AI. Law belongs within social sciences; AI in the title does not require computing.,plausible_L1,300,Codex assisted source review,L1 only; detailed DDC not certified,2026-09-07T02:20:03.371641+00:00
OL45148249W,Educating Young People for a Sustainable Future,,,Discrimination Inclusive education Sociology,"[""305.2""]","[""eng""]","[""OL8061733A"", ""OL16276976A""]","[""OL61566751M""]",https://openlibrary.org/search.json,ddc:3* AND language:eng,1,2026-09-06T14:57:04.434884+00:00,all_returned_candidates,"[""305.2""]",,"[""305.2""]",[],305.2,300,300,305,single_code,structured_metadata,Educating Young People for a Sustainable Future,Discrimination Inclusive education Sociology,Educating Young People for a Sustainable Future Subjects: Discrimination Inclusive education Sociology,badb765da4d1f67b8ac8a749b5fb384750cd2784eb08cbab6b9540bf90ddf5cb,group_0001519,,,https://openlibrary.org/works/OL45148249W.json ; https://openlibrary.org/books/OL61566751M.json ; https://www.emerald.com/books/edited-volume/21601/chapter/116487390/The-Responsibilisation-of-School-Leadership-to,"Education, inequality, inclusion and youth are social-science topics. The source label is plausible at L1; education versus youth sociology matters only for a narrower target.",plausible_L1,300,Codex assisted source review,L1 only; detailed DDC not certified,2026-09-07T02:20:03.371642+00:00
OL45909939W,Quantitative Easing and Tightening,,,Macroeconomics,"[""339.53""]","[""eng""]","[""OL3500424A""]","[""OL62463869M""]",https://openlibrary.org/search.json,ddc:3* AND language:eng,2,2026-09-06T14:57:06.198111+00:00,all_returned_candidates,"[""339.53""]",,"[""339.53""]",[],339.53,300,330,339,single_code,structured_metadata,Quantitative Easing and Tightening,Macroeconomics,Quantitative Easing and Tightening Subjects: Macroeconomics,0dce703ab4fb492a9f43c42d035e62ec48ce66050f676af36d07434991fad37d,group_0001634,,,https://openlibrary.org/works/OL45909939W.json ; https://openlibrary.org/books/OL62463869M.json,Monetary policy and macroeconomics support social sciences.,plausible_L1,300,Codex assisted source review,L1 only; detailed DDC not certified,2026-09-07T02:20:03.371644+00:00
OL42560089W,Preparing Culturally Informed Educators,,,,"[""370.117""]","[""eng""]","[""OL956535A"", ""OL214567A""]","[""OL60827797M"", ""OL57772193M""]",https://openlibrary.org/search.json,ddc:3* AND language:eng,4,2026-09-06T14:57:09.440501+00:00,all_returned_candidates,"[""370.117""]",,"[""370.117""]",[],370.117,300,370,370,single_code,structured_metadata,Preparing Culturally Informed Educators,,Preparing Culturally Informed Educators,8d3c25a21c1c2898dfee0e54712b4c4de0a2dce08335ee3c33393faee312a090,group_0001875,,,https://openlibrary.org/works/OL42560089W.json ; https://openlibrary.org/books/OL60827797M.json ; https://openlibrary.org/books/OL57772193M.json,Educator preparation and cultural inclusion support education within social sciences.,plausible_L1,300,Codex assisted source review,L1 only; detailed DDC not certified,2026-09-07T02:20:03.371646+00:00
OL45911097W,Challenging Myths on Sexual and Gender-Based Violence in Asylum Procedures,,,,"[""362.8756""]","[""eng""]","[""OL16566014A""]","[""OL62465443M""]",https://openlibrary.org/search.json,ddc:3* AND language:eng,3,2026-09-06T14:57:07.898788+00:00,all_returned_candidates,"[""362.8756""]",,"[""362.8756""]",[],362.8756,300,360,362,single_code,structured_metadata,Challenging Myths on Sexual and Gender-Based Violence in Asylum Procedures,,Challenging Myths on Sexual and Gender-Based Violence in Asylum Procedures,79d8cc4564564a2f0ae74f1380beabf0a4cf622c53c60accfa8d51045eda421c,group_0001703,,,https://openlibrary.org/works/OL45911097W.json ; https://openlibrary.org/books/OL62465443M.json,Asylum procedures and support for people affected by violence fit social sciences. Exact policy versus welfare classification is unverified.,plausible_L1,300,Codex assisted source review,L1 only; detailed DDC not certified,2026-09-07T02:20:03.371648+00:00
OL44545450W,New Cambridge History of the English Language : Volume 2,,,English language,"[""420.9""]","[""eng""]","[""OL15058151A"", ""OL3267357A""]","[""OL60842062M"", ""OL60833511M"", ""OL60828518M""]",https://openlibrary.org/search.json,ddc:4* AND language:eng,5,2026-09-06T14:57:17.817897+00:00,all_returned_candidates,"[""420.9""]",,"[""420.9""]",[],420.9,400,420,420,single_code,structured_metadata,New Cambridge History of the English Language : Volume 2,English language,New Cambridge History of the English Language : Volume 2 Subjects: English language,6954eaa428518225cdc26fe7a248ad1708a845496609abfbc1f3cfe54f596039,group_0002402,,,https://openlibrary.org/works/OL44545450W.json ; https://openlibrary.org/books/OL60842062M.json ; https://openlibrary.org/books/OL60833511M.json,The history of English as a language supports 400. Historical treatment does not automatically imply 900.,plausible_L1,400,Codex assisted source review,L1 only; detailed DDC not certified,2026-09-07T02:20:03.371651+00:00
OL42543056W,Celebrating First Nations Languages and Language Learning in Australian Schools,,,,"[""499.15071094""]","[""eng""]","[""OL15055340A"", ""OL15055341A"", ""OL8184442A""]","[""OL61567791M"", ""OL57748459M"", ""OL57745841M""]",https://openlibrary.org/search.json,ddc:4* AND language:eng,1,2026-09-06T14:57:13.129302+00:00,all_returned_candidates,"[""499.15071094""]",,"[""499.15071094""]",[],499.15071094,400,490,499,single_code,structured_metadata,Celebrating First Nations Languages and Language Learning in Australian Schools,,Celebrating First Nations Languages and Language Learning in Australian Schools,57f04ef40b302efe35facd62bf514c19db60117b4e28cd774e8d4906203f8fef,group_0002033,,,https://openlibrary.org/works/OL42543056W.json ; https://openlibrary.org/books/OL61567791M.json ; https://openlibrary.org/books/OL57748459M.json,First Nations language learning fits language; education is a related aspect that would need fuller text for precise cataloging.,plausible_L1,400,Codex assisted source review,L1 only; detailed DDC not certified,2026-09-07T02:20:03.371653+00:00
OL44546633W,Unlearning Language That Controls the Mind,,,Language and languages,"[""401.9""]","[""eng""]","[""OL16022886A""]","[""OL60830093M""]",https://openlibrary.org/search.json,ddc:4* AND language:eng,5,2026-09-06T14:57:17.817897+00:00,all_returned_candidates,"[""401.9""]",,"[""401.9""]",[],401.9,400,400,401,single_code,structured_metadata,Unlearning Language That Controls the Mind,Language and languages,Unlearning Language That Controls the Mind Subjects: Language and languages,745477d75cca1b0daea68b3f9041e16522d026da774e3b55fca307b2d69f9a46,group_0002440,,,https://openlibrary.org/works/OL44546633W.json ; https://openlibrary.org/books/OL60830093M.json,"Language and thought, supported by the language subject heading, make 400 plausible; psychology is a neighboring topic.",plausible_L1,400,Codex assisted source review,L1 only; detailed DDC not certified,2026-09-07T02:20:03.371654+00:00
OL44561131W,Linguistic Carnival of Thought,,,Language and languages,"[""401""]","[""eng""]","[""OL791206A""]","[""OL60854860M""]",https://openlibrary.org/search.json,ddc:4* AND language:eng,4,2026-09-06T14:57:16.781191+00:00,all_returned_candidates,"[""401""]",,"[""401""]",[],401,400,400,401,single_code,structured_metadata,Linguistic Carnival of Thought,Language and languages,Linguistic Carnival of Thought Subjects: Language and languages,2d4a6d9e20ba995b843d93f29dd74bbadb75f84db3941d9defa494283e74165a,group_0002324,,,https://openlibrary.org/works/OL44561131W.json ; https://openlibrary.org/books/OL60854860M.json,The title and subject indicate linguistic thought and language. Retain the broad language label provisionally.,plausible_L1,400,Codex assisted source review,L1 only; detailed DDC not certified,2026-09-07T02:20:03.371656+00:00
OL42393112W,Race to the North Pole : Peary vs. Cook,,,English language,"[""428.6""]","[""eng""]","[""OL13663317A"", ""OL7895729A""]","[""OL57515982M""]",https://openlibrary.org/search.json,ddc:4* AND language:eng,3,2026-09-06T14:57:15.200660+00:00,all_returned_candidates,"[""428.6""]",,"[""428.6""]",[],428.6,400,420,428,single_code,structured_metadata,Race to the North Pole : Peary vs. Cook,English language,Race to the North Pole : Peary vs. Cook Subjects: English language,ec8d6a194ba72d88865272f1bb0b1e959b8474cd296cefa152c83a5dc6a00b4e,group_0002230,,,https://openlibrary.org/works/OL42393112W.json ; https://openlibrary.org/books/OL57515982M.json ; https://collins.co.uk/products/9780008704490,Publisher identifies this as a Collins Big Cat graded reader with vocabulary and comprehension activities. Its purpose explains 428.6 despite the polar-exploration topic.,supported_L1,400,Codex assisted source review,L1 only; detailed DDC not certified,2026-09-07T02:20:03.371658+00:00
OL42397775W,A Comic Strip History of Planet Earth,,,Geology,"[""551.7""]","[""eng""]","[""OL13677326A""]","[""OL60854329M"", ""OL57526774M"", ""OL57738080M"", ""OL57522260M""]",https://openlibrary.org/search.json,ddc:5* AND language:eng,2,2026-09-06T14:57:19.618295+00:00,all_returned_candidates,"[""551.7""]",,"[""551.7""]",[],551.7,500,550,551,single_code,structured_metadata,A Comic Strip History of Planet Earth,Geology,A Comic Strip History of Planet Earth Subjects: Geology,8001d625e111de675fc9a60f7d7d3edd635193d821bf1e3e02a882501dec7c58,group_0002669,,,https://openlibrary.org/works/OL42397775W.json ; https://openlibrary.org/books/OL60854329M.json ; https://openlibrary.org/books/OL57526774M.json,Earth history and the geology subject support science. Comic presentation does not necessarily make a factual geology book an arts classification.,plausible_L1,500,Codex assisted source review,L1 only; detailed DDC not certified,2026-09-07T02:20:03.371659+00:00
OL42423280W,Slither,How Nature’s Most Maligned Creatures Illuminate Our World,"What does wildness, a true animal life-force, feel like in your hands?",Nonfiction Science Animals Nature Biology History Science Nature Natural History Ecology,"[""597.9600""]","[""eng""]","[""OL381367A""]","[""OL57563724M""]",https://openlibrary.org/search.json,ddc:5* AND language:eng,3,2026-09-06T14:57:21.053522+00:00,all_returned_candidates,"[""597.9600""]",,"[""597.9600""]",[],597.9600,500,590,597,single_code,structured_metadata,"Slither. How Nature's Most Maligned Creatures Illuminate Our World. What does wildness, a true animal life-force, feel like in your hands?",Nonfiction Science Animals Nature Biology History Science Nature Natural History Ecology,"Slither. How Nature's Most Maligned Creatures Illuminate Our World. What does wildness, a true animal life-force, feel like in your hands? Subjects: Nonfiction Science Animals Nature Biology History Science Nature Natural History Ecology",27c759ac0c57ee84b904f78bdf2890bbd02d6ccb009d52c091418a9f8e915655,group_0002725,,,https://openlibrary.org/works/OL42423280W.json ; https://openlibrary.org/books/OL57563724M.json,"The work description focuses on snake biology, ecology and scientific research, supporting science even though it also discusses cultural depictions.",supported_L1,500,Codex assisted source review,L1 only; detailed DDC not certified,2026-09-07T02:20:03.371661+00:00
OL42549840W,I Can Name 50 Trees Today! All about Trees,,,Botany,"[""582.16""]","[""eng""]","[""OL232986A"", ""OL2703939A"", ""OL2686938A""]","[""OL57758259M""]",https://openlibrary.org/search.json,ddc:5* AND language:eng,2,2026-09-06T14:57:19.618295+00:00,all_returned_candidates,"[""582.16""]",,"[""582.16""]",[],582.16,500,580,582,single_code,structured_metadata,I Can Name 50 Trees Today! All about Trees,Botany,I Can Name 50 Trees Today! All about Trees Subjects: Botany,fa1d872acb6cc57f0c9ed7f67f11ebaea89e45f2dc0407a9fd4d346419393aa8,group_0002606,,,https://openlibrary.org/works/OL42549840W.json ; https://openlibrary.org/books/OL57758259M.json,Trees and the botany subject support science.,plausible_L1,500,Codex assisted source review,L1 only; detailed DDC not certified,2026-09-07T02:20:03.371663+00:00
OL42454656W,"Squirrels Leap, Squirrels Sleep",,,Zoology,"[""599.362""]","[""eng""]","[""OL14056286A"", ""OL13721398A""]","[""OL57608828M""]",https://openlibrary.org/search.json,ddc:5* AND language:eng,2,2026-09-06T14:57:19.618295+00:00,all_returned_candidates,"[""599.362""]",,"[""599.362""]",[],599.362,500,590,599,single_code,structured_metadata,"Squirrels Leap, Squirrels Sleep",Zoology,"Squirrels Leap, Squirrels Sleep Subjects: Zoology",24c8c99b706d61acb3e579d83c6fe5ce2e26a5a54562c40ad51ca6f07e1244ea,group_0002638,,,https://openlibrary.org/works/OL42454656W.json ; https://openlibrary.org/books/OL57608828M.json,Squirrel behavior and the zoology subject support science. Preserve the slash notation in the edition's raw code.,plausible_L1,500,Codex assisted source review,L1 only; detailed DDC not certified,2026-09-07T02:20:03.371664+00:00
OL42541787W,Electromagnetic Heterostructures,,,,"[""537.0151""]","[""eng""]","[""OL8241680A""]","[""OL57743610M"", ""OL57751779M""]",https://openlibrary.org/search.json,ddc:5* AND language:eng,5,2026-09-06T14:57:24.025800+00:00,all_returned_candidates,"[""537.0151""]",,"[""537.0151""]",[],537.0151,500,530,537,single_code,structured_metadata,Electromagnetic Heterostructures,,Electromagnetic Heterostructures,8c74ffa18e5d32abf7016db66fa2e3d0e2e1ecfd679f5007bc3194ff0e7df47d,group_0002959,,,https://openlibrary.org/works/OL42541787W.json ; https://openlibrary.org/books/OL57743610M.json ; https://openlibrary.org/books/OL57751779M.json,Electromagnetism supports physics within science. The exact boundary with applied engineering needs fuller content only if finer labels are used.,plausible_L1,500,Codex assisted source review,L1 only; detailed DDC not certified,2026-09-07T02:20:03.371666+00:00
