document_id,old_title,old_subtitle,new_title,new_subtitle,source
OL44561131W,Linguistic Carnival of Thought,,Linguistic Carnival of Thought,Comparative Philosophy and the Dynamics of Language,https://openlibrary.org/books/OL60854860M.json
OL44561161W,Words for Life,,Words for Life,To Boost Every Day of the Year,https://openlibrary.org/books/OL60854909M.json
OL44578647W,Turning Points,,Turning Points,How Thirteen Remarkable Men and Women Heard God's Call and Responded to It,https://openlibrary.org/books/OL60887689M.json
OL4461578W,Trading in the zone,,Trading in the Zone,"Master the Market with Confidence, Discipline and a Winning Attitude",https://openlibrary.org/books/OL7889437M.json
OL45147893W,Official We Do Not Care Club Handbook,,Official We Do Not Care Club Handbook,A Guide for Women in Perimenopause and Menopause Who Are over It,https://openlibrary.org/books/OL61566219M.json
OL45148107W,Ambessa : Chosen of the Wolf : A League of Legends,,Ambessa : Chosen of the Wolf : A League of Legends,Arcane Novel,https://openlibrary.org/books/OL61566556M.json
OL45148113W,Words for Life,,Words for Life,To Boost Every Day of the Year,https://openlibrary.org/books/OL61566566M.json
OL45148249W,Educating Young People for a Sustainable Future,,Educating Young People for a Sustainable Future,"Perspectives on Equity, Inclusion and Social Justice",https://openlibrary.org/books/OL61566751M.json
OL45151992W,Artificial Intelligence,,Artificial Intelligence,A Graphic History,https://openlibrary.org/books/OL61571694M.json
OL45609162W,Turning Points,,Turning Points,How Historical Events Shape Modern Leadership,https://openlibrary.org/books/OL62109833M.json
OL45613344W,Origins of Apocalyptic Science Fiction,,Origins of Apocalyptic Science Fiction,The Last Man,https://openlibrary.org/books/OL62115272M.json
OL45791022W,Flower Power,,Flower Power,All about Pollination,https://openlibrary.org/books/OL62325373M.json
OL45859692W,The Truth Dancer,Stave I of V: Earth,The Truth Dancer: Stave I of V,Earth,https://openlibrary.org/books/OL62405293M.json
OL45859854W,The Truth Dancer,Stave IV of V: Spirit,The Truth Dancer: Stave IV of V,Spirit,https://openlibrary.org/books/OL62405472M.json
OL45909884W,Flower Power,,Flower Power,Designing Gardens for Year-Round Wonder,https://openlibrary.org/books/OL62463796M.json
OL45909939W,Quantitative Easing and Tightening,,Quantitative Easing and Tightening,Lessons after the Financial Crisis,https://openlibrary.org/books/OL62463869M.json
OL45911904W,Technical Studies of Asian Art,,Technical Studies of Asian Art,Proceedings of the Seventh Forbes Symposium at the Freer Gallery of Art,https://openlibrary.org/books/OL62466608M.json
OL45923362W,Women Artists and Abstract Art in Postwar Rome,,Women Artists and Abstract Art in Postwar Rome,Connected by Travel,https://openlibrary.org/books/OL62481078M.json
OL468431W,The Great Gatsby,,The Great Gatsby / Der große Gatsby,Zweispachige Ausgabe,https://openlibrary.org/books/OL48590937M.json
OL47181W,The Rise and Fall of the Third Reich,A History of Nazi Germany,The rise and fall of the Third Reich,a history of Nazi Germany,https://openlibrary.org/books/OL57683514M.json
OL4781294W,Introduction to Algorithms,,"Introduction to Algorithms, Fourth Edition",,https://openlibrary.org/books/OL34192801M.json
OL50283W,A People's History of the United States,1492-present,a people's history of the united states,1492-present,https://openlibrary.org/books/OL61423016M.json
OL514628W,What Do You Care What Other People Think?,further adventures of a curious character,What Do You Care What Other People Think?,Further Adventures of a Curious Character,https://openlibrary.org/books/OL29599382M.json
OL544652W,The pursuit of God,,the pursuit of god,,https://openlibrary.org/books/OL59000804M.json
OL550235W,End of days,predictions and prophecies about the end of the world,End of Days,Predictions and Prophecies About the End of the World,https://openlibrary.org/books/OL10440755M.json
OL5727685W,A New Earth,,A New Earth,Awakening to Your Life's Purpose,https://openlibrary.org/books/OL3407556M.json
OL5749847W,Outliers,,Outliers,The Story of Success,https://openlibrary.org/books/OL56132999M.json
OL5749849W,Blink,The Power of Thinking Without Thinking,Blink,the Power of Thinking Without Thinking by Malcolm Gladwell,https://openlibrary.org/books/OL55182631M.json
OL71014W,The Great Divorce,,The great divorce,a dream.,https://openlibrary.org/books/OL15444095M.json
OL7920347W,The Elegant Universe,"Superstrings, Hidden Dimensions, and the Quest for the Ultimate Theory",The ELegant Universe,"Superstrings, Hidden Dimensions, and the Quest for the Ultimate Theory",https://openlibrary.org/books/OL9271684M.json
OL8034119W,A Long Way Gone,,A Long Way Gone,memoirs of a boy soldier,https://openlibrary.org/books/OL32122054M.json
OL81613W,It,,IT,,https://openlibrary.org/books/OL53254558M.json
